Date;U_init;etp;prec;FC;WP;zr;dg;kc;area;ES;int
2016-11-01;20.987964;143.189;56.87038;26;12;189.77;1.31;0.86370736;637200;4.29612;16.7475
2016-12-01;18.30234907;139.617;119.2356;26;12;189.77;1.31;0.86370736;637200;14.3093;18.9061
2017-01-01;18.6677689;136.213;289.3254;26;12;189.77;1.31;0.86370736;637200;59.8733;17.6483
2017-02-01;25.89343868;118.167;112.9879;26;12;189.77;1.31;0.86370736;637200;19.2402;11.1219
2017-03-01;25.61604399;118.239;87.809;26;12;189.77;1.31;0.86429006;637200;13.1949;14.0211
2017-04-01;24.47779129;90.5259;88.8187;26;12;189.77;1.31;0.86429006;637200;11.6934;17.2449
2017-05-01;24.43135425;70.7188;149.0078;26;12;189.77;1.31;0.86200947;637200;17.5044;31.4128
2017-06-01;27.51641028;67.3497;8.994866;26;12;189.77;1.31;0.83005536;637200;0.147834;10.0507
2017-07-01;24.70043329;88.9193;0.066166566;26;12;189.77;1.31;0.7539997;637200;1.14E-05;0.208822
2017-08-01;21.32824046;113.049;69.94686;26;12;189.77;1.31;0.7024986;637200;2.54854;12.3546
2017-09-01;20.60576555;133.426;14.782232;26;12;189.77;1.31;0.69226813;637200;0.190218;6.74135
2017-10-01;17.28632569;137.152;120.98476;26;12;189.77;1.31;0.6928482;637200;9.6914;7.32384
2017-11-01;18.61540999;141.682;200.87507;26;12;189.77;1.31;0.7820485;637200;31.5637;8.42823
2017-12-01;22.34436573;137.075;144.23032;26;12;189.77;1.31;0.78453565;637200;19.1809;8.35878
2018-01-01;23.37306638;138.08;189.5652;26;12;189.77;1.31;0.8402039;637200;33.323;13.6458
2018-02-01;25.83916229;117.307;93.76641;26;12;189.77;1.31;0.8402039;637200;14.2178;8.68579
2018-03-01;24.85770398;112.418;80.0036;26;12;189.77;1.31;0.8300367;637200;11.0998;10.3686
2018-04-01;23.73009936;87.0549;15.446399;26;12;189.77;1.31;0.831662;637200;0.590571;8.44413
2018-05-01;20.91804818;72.6764;7.4845138;26;12;189.77;1.31;0.77862227;637200;0.0941562;7.61153
2018-06-01;18.62673445;64.8662;14.865012;26;12;189.77;1.31;0.755175;637200;0.271518;7.63847
2018-07-01;17.09517367;81.1127;1.02811932;26;12;189.77;1.31;0.70747316;637200;0.00177068;1.85365
2018-08-01;14.87645067;113.933;77.23456;26;12;189.77;1.31;0.6931545;637200;2.94054;14.4358
2018-09-01;15.52431425;115.42;74.01183;26;12;189.77;1.31;0.6901295;637200;3.33517;11.709
2018-10-01;15.76064503;129.821;201.63;26;12;189.77;1.31;0.7786383;637200;23.864;21.831
2018-11-01;20.29744188;140.449;94.53723;26;12;189.77;1.31;0.7764075;637200;9.81287;18.0459
2018-12-01;19.71760118;137.244;84.43173;26;12;189.77;1.31;0.77572393;637200;7.77117;12.0721
2019-01-01;18.71085464;137.938;88.68163;26;12;189.77;1.31;0.801357;637200;9.69377;17.0086
2019-02-01;17.9695977;113.854;154.4424;26;12;189.77;1.31;0.82383335;637200;29.2025;24.0031
2019-03-01;20.80702303;110.302;155.1174;26;12;189.77;1.31;0.8259631;637200;30.0817;24.0259
2019-04-01;23.35465507;82.656;53.0269;26;12;189.77;1.31;0.8258855;637200;5.1594;19.8887
2019-05-01;22.23887944;65.71;14.218282;26;12;189.77;1.31;0.6044873;637200;0.181048;1.02347
2019-06-01;20.58594743;64.8451;18.64697;26;12;189.77;1.31;0.60551864;637200;0.30485;1.31798
2019-07-01;19.28122453;80.8007;31.596654;26;12;189.77;1.31;0.59293944;637200;0.597326;1.15902
