Date;U_init;etp;prec;FC;WP;dg;kc;area
01/09/2018;15.329698;115.42;73.27443;26;12;1.31;0.66875535;297000
01/10/2018;15.62204344;129.821;206.0522;26;12;1.31;0.73739684;297000
01/11/2018;20.61768294;140.449;104.02149;26;12;1.31;0.7022541;297000
01/12/2018;20.5742326;137.244;89.01167;26;12;1.31;0.69344115;297000
01/01/2019;20.07675051;137.938;102.30359;26;12;1.31;0.62985283;297000
01/02/2019;20.36267446;113.854;128.2098;26;12;1.31;0.9567024;297000
01/03/2019;21.5540398;110.302;161.3991;26;12;1.31;0.9207404;297000
01/04/2019;23.32064854;82.656;54.87205;26;12;1.31;0.8666289;297000
01/05/2019;22.16102607;65.71;4.2838951;26;12;1.31;0.8606883;297000
01/06/2019;19.61984866;64.8451;6.3706931;26;12;1.31;0.8533033;297000
01/07/2019;17.4702325;80.8007;12.029799;26;12;1.31;0.8220634;297000
